"帳票種別 Product type","サイクル区分 Cycle","年月週 Year, Month, Week","報告年月日（自）Period covered - from","報告年月日（至）Period covered - to","投資部門コード Type of Investor","数量金額区分 Volume/Value","売 Sales","売-差引 Balance","買 Purchases","買-差引 Balance","合計 Total"
"335","1","2026043","20260413","20260417","24","1",0,0,0,0,0
"335","1","2026043","20260413","20260417","24","2",0,0,0,0,0
"335","1","2026043","20260413","20260417","31","1",0,0,0,0,0
"335","1","2026043","20260413","20260417","31","2",0,0,0,0,0
"335","1","2026043","20260413","20260417","32","1",0,0,0,0,0
"335","1","2026043","20260413","20260417","32","2",0,0,0,0,0
"335","1","2026043","20260413","20260417","33","1",0,0,0,0,0
"335","1","2026043","20260413","20260417","33","2",0,0,0,0,0
"335","1","2026043","20260413","20260417","41","1",0,0,0,0,0
"335","1","2026043","20260413","20260417","41","2",0,0,0,0,0
"335","1","2026043","20260413","20260417","51","1",0,0,0,0,0
"335","1","2026043","20260413","20260417","51","2",0,0,0,0,0
"335","1","2026043","20260413","20260417","60","1",0,0,0,0,0
"335","1","2026043","20260413","20260417","60","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","11","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","11","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","21","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","21","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","22","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","22","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","23","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","23","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","24","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","24","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","31","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","31","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","32","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","32","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","33","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","33","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","41","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","41","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","51","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","51","2",0,0,0,0,0
"323","1","2026043","20260413","20260417","60","1",0,0,0,0,0
"323","1","2026043","20260413","20260417","60","2",0,0,0,0,0
"449","1","2026043","20260413","20260417","11","1",1013,0,3012,1999,4025
"449","1","2026043","20260413","20260417","11","2",3013,0,4013,1000,7026
"449","1","2026043","20260413","20260417","21","1",1004,0,2004,1000,3008
"449","1","2026043","20260413","20260417","21","2",3004,0,4004,1000,7008
"449","1","2026043","20260413","20260417","22","1",1005,0,2005,1000,3010
"449","1","2026043","20260413","20260417","22","2",3005,0,4005,1000,7010
"449","1","2026043","20260413","20260417","23","1",1006,0,2006,1000,3012
"449","1","2026043","20260413","20260417","23","2",3006,0,4006,1000,7012
"449","1","2026043","20260413","20260417","24","1",1007,0,2007,1000,3014
"449","1","2026043","20260413","20260417","24","2",3007,0,4007,1000,7014
"449","1","2026043","20260413","20260417","31","1",1008,0,2008,1000,3016
"449","1","2026043","20260413","20260417","31","2",3008,0,4008,1000,7016
"449","1","2026043","20260413","20260417","32","1",1009,0,2009,1000,3018
"449","1","2026043","20260413","20260417","32","2",3009,0,4009,1000,7018
"449","1","2026043","20260413","20260417","33","1",1010,0,2010,1000,3020
"449","1","2026043","20260413","20260417","33","2",3010,0,4010,1000,7020
"449","1","2026043","20260413","20260417","41","1",1011,0,2011,1000,3022
"449","1","2026043","20260413","20260417","41","2",3011,0,4011,1000,7022
"449","1","2026043","20260413","20260417","51","1",1012,0,2012,1000,3024
"449","1","2026043","20260413","20260417","51","2",3012,0,4012,1000,7024
"449","1","2026043","20260413","20260417","60","1",2027,0,4027,2000,6054
"449","1","2026043","20260413","20260417","60","2",6027,0,8027,2000,14054
"329","1","2026043","20260413","20260417","11","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","11","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","21","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","21","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","22","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","22","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","23","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","23","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","24","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","24","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","31","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","31","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","32","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","32","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","33","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","33","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","41","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","41","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","51","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","51","2",0,0,0,0,0
"329","1","2026043","20260413","20260417","60","1",0,0,0,0,0
"329","1","2026043","20260413","20260417","60","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","11","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","11","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","21","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","21","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","22","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","22","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","23","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","23","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","24","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","24","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","31","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","31","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","32","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","32","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","33","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","33","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","41","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","41","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","51","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","51","2",0,0,0,0,0
"312","1","2026043","20260413","20260417","60","1",0,0,0,0,0
"312","1","2026043","20260413","20260417","60","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","11","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","11","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","21","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","21","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","22","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","22","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","23","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","23","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","24","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","24","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","31","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","31","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","32","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","32","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","33","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","33","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","41","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","41","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","51","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","51","2",0,0,0,0,0
"324","1","2026043","20260413","20260417","60","1",0,0,0,0,0
"324","1","2026043","20260413","20260417","60","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","11","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","11","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","21","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","21","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","22","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","22","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","23","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","23","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","24","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","24","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","31","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","31","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","32","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","32","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","33","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","33","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","41","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","41","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","51","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","51","2",0,0,0,0,0
"309","1","2026043","20260413","20260417","60","1",0,0,0,0,0
"309","1","2026043","20260413","20260417","60","2",0,0,0,0,0
"325","1","2026043","20260413","20260417","11","1",0,0,0,0,0
"325","1","2026043","20260413","20260417","11","2",0,0,0,0,0
"325","1","2026043","20260413","20260417","21","1",0,0,0,0,0
"325","1","2026043","20260413","20260417","21","2",0,0,0,0,0
"325","1","2026043","20260413","20260417","22","1",0,0,0,0,0
"325","1","2026043","20260413","20260417","22","2",0,0,0,0,0
"325","1","2026043","20260413","20260417","23","1",0,0,0,0,0
"325","1","2026043","20260413","20260417","23","2",0,0,0,0,0
"325","1","2026043","20260413","20260417","24","1",0,0,0,0,0
"325","1","2026043","20260413","20260417","24","2",0,0,0,0,0
"325","1","2026043","20260413","20260417","31","1",0,0,0,0,0
"325","1","2026043","20260413","20260417","31","2",0,0,0,0,0
"325","1","2026043","20260413","20260417","32","1",0,0,0,0,0
"325","1","2026043","20260413","20260417","32","2",0,0,0,0,0
"325","1","2026043","20260413","20260417","33","1",0,0,0,0,0
